id,user,uid,version,changeset,timestamp
8779141,smlyons77,953610,3,15696323,2013-04-12T02:56:09Z
8779143,bot-mode,451693,2,14374932,2012-12-23T08:29:02Z
8779146,smlyons77,953610,2,15531092,2013-03-28T20:43:37Z
8779148,smlyons77,953610,2,15531092,2013-03-28T20:43:37Z
8779150,smlyons77,953610,2,15531092,2013-03-28T20:43:37Z
8779152,smlyons77,953610,2,13668434,2012-10-29T00:50:09Z
8779153,smlyons77,953610,2,13668434,2012-10-29T00:30:35Z
8779156,smlyons77,953610,2,14414278,2012-12-26T16:08:43Z
8779159,smlyons77,953610,3,15443624,2013-03-21T15:11:02Z
8779163,smlyons77,953610,4,15412473,2013-03-18T20:12:44Z
8779165,smlyons77,953610,3,15855261,2013-04-24T23:07:32Z
8779167,smlyons77,953610,3,18187922,2013-10-05T01:57:14Z
8779168,smlyons77,953610,3,14369641,2012-12-22T18:51:06Z
8779169,smlyons77,953610,3,15861044,2013-04-25T14:32:37Z
8779171,DaveHansenTiger,7168,1,84092,2007-10-10T15:38:22Z
8779174,smlyons77,953610,3,19292560,2013-12-05T16:55:43Z
8779176,smlyons77,953610,4,15855261,2013-04-24T23:45:57Z
8779177,smlyons77,953610,2,14419697,2012-12-27T00:10:38Z
8779179,smlyons77,953610,4,40138758,2016-06-19T17:43:25Z
8779181,smlyons77,953610,6,17790675,2013-09-11T21:20:25Z
8779183,smlyons77,953610,3,15414512,2013-03-18T23:13:43Z
8779185,smlyons77,953610,4,18731518,2013-11-05T16:18:15Z
8779186,smlyons77,953610,3,15412473,2013-03-18T20:03:03Z
8779188,smlyons77,953610,2,13668434,2012-10-29T00:02:11Z
8779189,smlyons77,953610,3,15410045,2013-03-18T17:08:22Z
8779192,smlyons77,953610,5,15966281,2013-05-03T23:15:09Z
8779193,smlyons77,953610,3,15498319,2013-03-26T01:18:17Z
8779195,smlyons77,953610,3,15444792,2013-03-21T16:31:20Z
8779197,smlyons77,953610,2,14301971,2012-12-17T05:07:45Z
8779198,smlyons77,953610,3,15503289,2013-03-26T14:27:25Z
8779200,smlyons77,953610,3,15410045,2013-03-18T17:08:21Z
8779203,smlyons77,953610,8,41279346,2016-08-05T22:45:49Z
8779205,smlyons77,953610,4,16727387,2013-06-27T14:45:22Z
8779206,smlyons77,953610,7,15885333,2013-04-27T16:16:09Z
8779224,smlyons77,953610,3,19292560,2013-12-05T16:55:44Z
8779225,iKJames,1717101,3,21031105,2014-03-10T18:15:20Z
8779226,smlyons77,953610,5,19807351,2014-01-04T16:45:49Z
8779228,smlyons77,953610,3,15414512,2013-03-18T23:04:45Z
8779230,bot-mode,451693,2,15792154,2013-04-20T02:01:06Z
8779232,smlyons77,953610,2,14642456,2013-01-13T23:15:09Z
8779234,smlyons77,953610,3,15410045,2013-03-18T17:08:22Z
8779236,smlyons77,953610,4,15403114,2013-03-18T00:24:51Z
8779242,smlyons77,953610,6,15902526,2013-04-29T01:12:53Z
8779244,smlyons77,953610,3,15410045,2013-03-18T17:14:27Z
8779245,smlyons77,953610,4,16087268,2013-05-11T22:18:02Z
8779246,smlyons77,953610,3,15403114,2013-03-18T00:28:50Z
8779248,bot-mode,451693,4,15792154,2013-04-20T02:01:07Z
8779249,smlyons77,953610,5,19807351,2014-01-04T17:20:55Z
8779251,smlyons77,953610,4,19484262,2013-12-16T16:20:24Z
8779253,smlyons77,953610,4,19292560,2013-12-05T16:55:44Z
8779256,smlyons77,953610,5,16058023,2013-05-10T03:15:53Z
8779261,smlyons77,953610,3,19292560,2013-12-05T16:52:31Z
8779263,smlyons77,953610,3,19292560,2013-12-05T16:52:30Z
8779264,smlyons77,953610,2,13717103,2012-11-02T00:34:54Z
8779266,BranchLine,1718513,3,21619574,2014-04-11T04:42:01Z
8779268,smlyons77,953610,3,17966064,2013-09-22T00:51:17Z
8779269,smlyons77,953610,3,18001177,2013-09-24T00:30:18Z
8779270,smlyons77,953610,3,15531092,2013-03-28T21:00:25Z
8779272,smlyons77,953610,5,15583474,2013-04-02T16:23:36Z
8779278,bot-mode,451693,2,15792154,2013-04-20T02:01:08Z
8779279,smlyons77,953610,2,13717103,2012-11-02T00:34:54Z
8779281,smlyons77,953610,15,18001177,2013-09-24T00:57:30Z
8779283,smlyons77,953610,7,17958709,2013-09-21T15:35:09Z
8779286,bot-mode,451693,2,15792154,2013-04-20T02:01:08Z
8779288,smlyons77,953610,3,13674628,2012-10-29T14:32:17Z
8779291,smlyons77,953610,4,16064114,2013-05-10T14:18:36Z
8779294,smlyons77,953610,4,16064114,2013-05-10T14:18:37Z
8779295,smlyons77,953610,5,16064114,2013-05-10T14:18:37Z
8779297,smlyons77,953610,3,17169794,2013-07-31T18:24:24Z
8779299,smlyons77,953610,3,15498319,2013-03-26T01:56:23Z
8779308,smlyons77,953610,4,15873936,2013-04-26T17:08:43Z
8779312,smlyons77,953610,3,15503289,2013-03-26T14:27:27Z
8779313,smlyons77,953610,2,15247897,2013-03-04T16:25:14Z
8779315,smlyons77,953610,3,41602730,2016-08-21T22:32:53Z
8779316,smlyons77,953610,2,14663638,2013-01-15T17:56:16Z
8779318,smlyons77,953610,3,15526851,2013-03-28T13:58:26Z
8779320,smlyons77,953610,4,15966281,2013-05-03T23:24:26Z
8779326,Rub21,510836,3,17280920,2013-08-09T15:55:00Z
8779328,smlyons77,953610,2,15412473,2013-03-18T20:09:02Z
8779329,smlyons77,953610,2,15412473,2013-03-18T20:09:02Z
8779330,smlyons77,953610,3,15498319,2013-03-26T01:18:18Z
8779331,bot-mode,451693,2,14497618,2013-01-02T10:53:28Z
8779335,smlyons77,953610,3,16058023,2013-05-10T03:08:07Z
8779337,smlyons77,953610,4,16058023,2013-05-10T03:08:07Z
8779338,smlyons77,953610,5,16064114,2013-05-10T14:45:33Z
8779339,smlyons77,953610,8,17809833,2013-09-13T00:50:27Z
8779341,smlyons77,953610,3,15498319,2013-03-26T01:56:23Z
8779343,smlyons77,953610,3,15414512,2013-03-18T23:23:33Z
8779345,smlyons77,953610,2,13619050,2012-10-24T18:07:50Z
8779347,smlyons77,953610,3,15412473,2013-03-18T20:00:07Z
8779348,smlyons77,953610,2,15583474,2013-04-02T16:09:04Z
8779350,DaveHansenTiger,7168,1,84092,2007-10-10T15:39:35Z
8779352,smlyons77,953610,5,16057414,2013-05-10T01:08:15Z
8779357,smlyons77,953610,3,19292560,2013-12-05T16:55:44Z
8779358,bot-mode,451693,2,15792154,2013-04-20T02:01:09Z
8779360,smlyons77,953610,2,14629315,2013-01-13T01:19:00Z
8779363,bot-mode,451693,2,15792154,2013-04-20T02:01:09Z
8779365,smlyons77,953610,3,15412473,2013-03-18T20:09:02Z
8779366,smlyons77,953610,3,15672555,2013-04-10T00:53:35Z
8779367,smlyons77,953610,7,40974690,2016-07-23T17:27:39Z
8779371,smlyons77,953610,2,15319167,2013-03-10T19:07:47Z
8779372,smlyons77,953610,4,15583474,2013-04-02T16:23:37Z
8779374,bot-mode,451693,3,15792154,2013-04-20T02:01:13Z
8779376,smlyons77,953610,3,15498319,2013-03-26T01:56:24Z
8779377,smlyons77,953610,6,18130399,2013-10-01T17:46:26Z
8779386,smlyons77,953610,30,18733528,2013-11-05T18:08:29Z
8779391,smlyons77,953610,10,18731518,2013-11-05T16:32:32Z
8779398,smlyons77,953610,3,15414512,2013-03-18T23:41:10Z
8779404,smlyons77,953610,15,17809833,2013-09-13T00:35:32Z
8779411,smlyons77,953610,24,20607672,2014-02-17T01:16:59Z
8779414,smlyons77,953610,4,15414512,2013-03-18T23:23:33Z
8779415,smlyons77,953610,4,19484262,2013-12-16T16:23:32Z
